massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row29	774.5287	4.23	1.4214e-13	-8.6408	"774.5287_4.23"
row30	512.2988	0.92	1.6487e-13	-8.6104	"512.2988_0.92"
row31	511.2892	0.63	2.4473e-13	8.5293	"511.2892_0.63"
row32	845.6048	5.36	5.3244e-13	-8.3696	"845.6048_5.36"
row33	835.535	4.42	2.1722e-12	-8.0797	"835.535_4.42"
row34	799.5321	4.17	2.7543e-12	-8.0306	"799.5321_4.17"
row35	789.5824	4.99	3.1074e-12	-8.0056	"789.5824_4.99"
row36	453.2802	1.27	3.2034e-12	7.9993	"453.2802_1.27"
row37	164.0704	0.57	6.5258e-12	7.8518	"164.0704_0.57"
row38	798.5291	4.17	6.7898e-12	-7.8435	"798.5291_4.17"
row39	817.6139	5.4	1.0923e-11	-7.7447	"817.6139_5.4"
row40	480.3088	1.81	1.333e-11	7.7032	"480.3088_1.81"
row41	817.5786	4.95	1.7635e-11	-7.6448	"817.5786_4.95"
row42	481.3118	1.81	2.5195e-11	7.5703	"481.3118_1.81"
row43	766.539	5.23	3.0823e-11	7.5281	"766.539_5.23"
row44	902.5209	5.22	3.5709e-11	7.4972	"902.5209_5.22"
row45	858.5217	4.03	4.3252e-11	-7.457	"858.5217_4.03"
row46	548.2948	1.81	7.3326e-11	7.3461	"548.2948_1.81"
row47	698.5126	5.08	8.9439e-11	-7.3042	"698.5126_5.08"
row48	970.5071	5.23	9.0641e-11	7.3014	"970.5071_5.23"
row49	768.5448	5.22	9.6758e-11	7.2876	"768.5448_5.22"
row50	767.5419	5.23	1.0114e-10	7.2783	"767.5419_5.23"
row51	789.5252	4.74	1.1348e-10	-7.254	"789.5252_4.74"
row52	903.5185	5.23	1.3818e-10	7.2123	"903.5185_5.23"
row53	857.5187	4.03	1.4816e-10	-7.1976	"857.5187_4.03"
row54	862.5529	4.53	2.3727e-10	-7.0977	"862.5529_4.53"
row55	849.5478	4.14	2.5927e-10	-7.0789	"849.5478_4.14"
row56	212.0052	0.54	3.5205e-10	-7.0138	"212.0052_0.54"
row57	790.5389	5.13	4.6416e-10	6.9548	"790.5389_5.13"
row58	787.5681	4.93	5.2339e-10	-6.9291	"787.5681_4.93"
row59	816.6101	5.4	5.4533e-10	-6.9204	"816.6101_5.4"
row60	861.5495	4.53	6.3814e-10	-6.8867	"861.5495_4.53"
row61	788.5236	4.74	6.6639e-10	-6.8774	"788.5236_4.74"
row62	88.038	0.56	7.1894e-10	6.8612	"88.038_0.56"
row63	876.5758	4.62	8.1638e-10	-6.8339	"876.5758_4.62"
row64	881.5208	3.95	8.7809e-10	-6.8182	"881.5208_3.95"
row65	835.5316	5.23	9.5496e-10	6.8002	"835.5316_5.23"
row66	538.3142	0.97	1.1561e-09	-6.7591	"538.3142_0.97"
row67	506.3239	1.29	1.1805e-09	-6.7546	"506.3239_1.29"
row68	566.3457	1.29	1.1866e-09	-6.7535	"566.3457_1.29"
row69	863.5555	4.53	1.3773e-09	-6.7213	"863.5555_4.53"
row70	763.5109	4.69	1.4757e-09	6.7064	"763.5109_4.69"
row71	762.5076	4.69	1.505e-09	6.7022	"762.5076_4.69"
row72	791.5423	5.13	1.6351e-09	6.6843	"791.5423_5.13"
row73	848.5445	4.14	2.0851e-09	-6.6317	"848.5445_4.14"
row74	896.563	4.83	2.2481e-09	-6.6153	"896.563_4.83"
row75	816.5754	4.95	3.0695e-09	-6.5477	"816.5754_4.95"
row76	1032.5382	4.84	3.4234e-09	-6.5239	"1032.5382_4.84"
row77	567.3491	1.29	3.5067e-09	-6.5187	"567.3491_1.29"
row78	699.5133	5.08	4.9818e-09	-6.442	"699.5133_5.08"
row79	130.0856	0.57	5.0206e-09	6.4403	"130.0856_0.57"
row80	228.063	0.56	6.0819e-09	6.3983	"228.063_0.56"
row81	828.576	4.83	6.1338e-09	-6.3964	"828.576_4.83"
row82	1033.5415	4.84	6.6067e-09	-6.3801	"1033.5415_4.84"
row83	539.3171	0.97	7.6174e-09	-6.3489	"539.3171_0.97"
row84	860.6298	5.52	8.1672e-09	-6.3335	"860.6298_5.52"
row85	726.5436	5.49	1.0906e-08	-6.2698	"726.5436_5.49"
row86	507.3253	1.29	1.1671e-08	-6.2548	"507.3253_1.29"
row87	829.5793	4.82	1.3896e-08	-6.2161	"829.5793_4.82"
row88	232.0609	0.57	1.688e-08	6.173	"232.0609_0.57"
row89	727.5469	5.49	1.9741e-08	-6.1381	"727.5469_5.49"
